,date,a,b,c,d,p
477,2015/12/16,1.2538357195409200,1.196448366091580,1.1869543012679600,1.18524256787579,1.2274173263638200
478,2015/12/17,1.2536045049118700,1.197648872262520,1.1845009278758700,1.1859979104673700,1.2275128832559100
479,2015/12/18,1.2727527555614800,1.2149085752549000,1.1854693451442700,1.18669120928043,1.2423960672666000
480,2015/12/21,1.292254876798010,1.2261663072177800,1.1909893252438800,1.1891311941228800,1.256035109308790
481,2015/12/22,1.2810763695719300,1.219844967374600,1.1929743582529000,1.1891026918754500,1.2490157143188500
482,2015/12/23,1.2734697291396100,1.2131469825843800,1.1930037024200200,1.1880176069056700,1.2431723240366600
483,2015/12/24,1.2739355877006700,1.2112663585825800,1.1963422801724800,1.1859721651789900,1.2429459760792800
484,2015/12/25,1.2752479846040000,1.2151618338615500,1.1945333487655300,1.1838021393295300,1.2444534496802200
485,2015/12/28,1.2769300245601900,1.2030230921508700,1.1869127876454700,1.1834427290359800,1.2402485347943400
486,2015/12/29,1.2934150066858100,1.2094013491553400,1.1936580649479200,1.1749820545533800,1.2499808414601000
487,2015/12/30,1.3000941913566200,1.2139127053435500,1.1936087912803500,1.177892666189060,1.254842210827380
488,2015/12/31,1.3200822960803800,1.212151139128710,1.1981353051684700,1.1791557194555900,1.2641289928972400
489,2016/01/04,1.2950185627152200,1.1979573237233100,1.1920837754464100,1.173882546756620,1.2466809140382000
490,2016/01/05,1.3014894885626800,1.198715532397470,1.1921314911622300,1.1780270436838900,1.2502765794997600
491,2016/01/06,1.2854323447975000,1.1939669954420700,1.1915720227877400,1.1724184962063100,1.2408069372951600
492,2016/01/07,1.2842130492331300,1.196264580961150,1.1907839463208100,1.1690781509288200,1.2406373494901400
493,2016/01/08,1.2786898627877400,1.1954825823851100,1.189268732049940,1.1702742000006200,1.2378145511390500
494,2016/01/11,1.2780312519083800,1.1975579582623700,1.1878936878143100,1.1722627456072900,1.2382629225634900
495,2016/01/12,1.2796718037784800,1.1968023595090200,1.196601859720180,1.17620019439291,1.2401318922368500
496,2016/01/13,1.2772757239374800,1.1962340306400800,1.1961245348784000,1.1724387562727500,1.238435501908300
497,2016/01/14,1.2770862086735400,1.192341688989820,1.196948829681110,1.1772353747278700,1.2375772482285400
498,2016/01/15,1.2753536939507300,1.187140228467370,1.1993569358209800,1.1770156907459300,1.2352737681930900
499,2016/01/18,1.304460720467860,1.194276638907680,1.1987514514323300,1.1753190860349800,1.2508553746949700
500,2016/01/19,1.3107754367731800,1.197190703360690,1.1974043614820800,1.1728830194314400,1.2543278420833600
501,2016/01/20,1.2943697919566200,1.1913882582337000,1.1999661171223400,1.1671240384869700,1.2447023885212600
502,2016/01/21,1.295613181108550,1.193839590717050,1.2033291176338200,1.1673688739115700,1.2465202611070900
503,2016/01/22,1.3025344264064700,1.1997327881113400,1.2028906878998700,1.1653944937881500,1.2514448066252100
504,2016/01/25,1.3000823976924400,1.1960374831683800,1.199242702857010,1.1638402853555000,1.2484953201255200
505,2016/01/26,1.3053820035045200,1.1966615902877800,1.202890702438230,1.1648635856962800,1.25162224195252
506,2016/01/27,1.3091277713371200,1.2099419004752900,1.2061638861889500,1.1668712919040500,1.2584758592459900
507,2016/01/28,1.2908477540375100,1.2022947498516300,1.204593956457070,1.166354358959620,1.2473952798560800
508,2016/01/29,1.289413413738780,1.203765342575470,1.2041360198901100,1.164178922689930,1.24699360028774
509,2016/02/01,1.2896851242653300,1.1995772986325800,1.2052770080043500,1.1632229896971100,1.2457158086745700
510,2016/02/02,1.2907835143618100,1.2034982131568800,1.2048991587878800,1.1636500225426500,1.2475584432423800
