index,,mac16,mac2,mac32,mac4,mac8
2020-06-14,mac2,0.5398241014406426,1.0,-0.08919680763310034,0.9403111060318045,0.8473389699646863
2020-06-14,mac32,0.12425774614066172,-0.08919680763310034,1.0,-0.02076425168275062,0.0012246627551023698
2020-06-14,mac4,0.557414009695454,0.9403111060318045,-0.02076425168275062,1.0,0.9141686560413563
2020-06-14,mac8,0.706360073125969,0.8473389699646863,0.0012246627551023698,0.9141686560413563,1.0
2020-06-21,mac16,1.0,0.5391448065285304,0.12424175625009884,0.556747578340553,0.7056196206016219
2020-06-21,mac2,0.5391448065285304,1.0,-0.09030475240568063,0.9404465757376549,0.8476602265835336
2020-06-21,mac32,0.12424175625009884,-0.09030475240568063,1.0,-0.02194493952885471,8.307010153848822e-05
2020-06-21,mac4,0.556747578340553,0.9404465757376549,-0.02194493952885471,1.0,0.9143449418433415
2020-06-21,mac8,0.7056196206016219,0.8476602265835336,8.307010153848822e-05,0.9143449418433415,1.0
2020-06-28,mac16,1.0,0.540616239439508,0.12713220251072438,0.5579128972663814,0.7063223746735728
2020-06-28,mac2,0.540616239439508,1.0,-0.025541246339497656,0.9405564172295067,0.8479896450098309
2020-06-28,mac32,0.12713220251072438,-0.025541246339497656,1.0,0.017156990888076075,0.030886234360764507
2020-06-28,mac4,0.5579128972663814,0.9405564172295067,0.017156990888076075,1.0,0.9145495643042519
2020-06-28,mac8,0.7063223746735728,0.8479896450098309,0.030886234360764507,0.9145495643042519,1.0
2020-07-05,mac16,1.0,0.5401062865327666,0.09009932811906467,0.5578614649124627,0.7062886922943892
2020-07-05,mac2,0.5401062865327666,1.0,0.003869981504956727,0.9401996685078498,0.8476109633125536
2020-07-05,mac32,0.09009932811906467,0.003869981504956727,1.0,0.016565684444919623,0.024997574602405277
2020-07-05,mac4,0.5578614649124627,0.9401996685078498,0.016565684444919623,1.0,0.9145481905929106
2020-07-05,mac8,0.7062886922943892,0.8476109633125536,0.024997574602405277,0.9145481905929106,1.0
2020-07-12,mac16,1.0,0.5406784888986932,0.04402083881244037,0.5580042158475318,0.7052187252366088
