,BNB-USDT,BTC-USDT-SWAP,ETH-USDT-SWAP
2020-04-09,0.6000000000000014,0.7679999999999927,1.7999999999999972
2020-04-10,-4.908000000000001,-8.183999999999996,-7.2816393842823235
2020-04-11,0.0910323979159722,-0.8739999999999963,0.5143516845730782
2020-04-12,-0.4650000000000034,-1.0223773168615191,-0.7516327378491636
2020-04-13,0.3530611998689824,-1.2560000000000036,-1.8935748596238395
2020-04-14,2.9549539384669843,0.7892553340889561,1.1473958101189972
2020-04-15,-7.009578487875145e-05,0.0,0.4520000000000039
2020-04-16,0.21497075631228385,0.0,2.3779999999999974
2020-04-17,0.750968226134597,0.0,-0.011448626240765288
2020-04-18,0.7839578972117567,-0.02481510638037445,1.0822482686518538
2020-04-19,2.067870399794473,0.5489839672529134,4.724457673371206
2020-04-20,-0.12905580209472675,0.07,-0.33784112734861155
