,tr_date,tr_datetime,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price
575,20160512,2016/05/12 00:00:00,3788.623645377186,3736.68516432862,3788.6236453772,3731.876045713002,,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,-51.938481,-1.370906,0.986291,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,108.205169,106.762433,3682.859898,False,0.0,0.0
576,20160513,2016/05/13 00:00:00,3678.013917218167,3659.739266478867,3710.715923804325,3633.770025954568,,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,-18.274651,-0.496862,0.995031,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,86.323679,104.442741,3688.884941,False,0.0,0.0
577,20160516,2016/05/16 00:00:00,3680.899388387533,3661.662913925111,3705.906805188716,3655.891971586372,,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,-19.236474,-0.522603,0.994774,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,86.564135,107.724257,3693.856809,False,0.0,0.0
578,20160517,2016/05/17 00:00:00,3679.937564664411,3683.784859556915,3698.212215403741,3665.510208817591,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3.847295,0.104548,1.001045,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,75.02225,100.199401,3698.75871,False,0.0,0.0
579,20160518,2016/05/18 00:00:00,3725.143279651141,3687.632154449402,3785.738174207835,3658.777442755738,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-37.511125,-1.006971,0.98993,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,63.23991,92.504811,3702.64591,False,0.0,0.0
580,20160519,2016/05/19 00:00:00,3689.55580189563,3677.052093495061,3703.02133401935,3662.624737648225,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-12.503708,-0.338895,0.996611,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,79.110001,87.922004,3707.368598,False,0.0,0.0
581,20160520,2016/05/20 00:00:00,3711.677747527433,3672.242974879452,3713.601394973691,3654.93014786325,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-39.434773,-1.062451,0.989375,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,63.480365,84.470754,3711.193078,False,0.0,0.0
582,20160523,2016/05/23 00:00:00,3645.311910632022,3631.846378508331,3648.197381801402,3587.602487244717,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-13.465532,-0.369393,0.996306,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,65.644469,81.698439,3714.722031,False,0.0,0.0
583,20160524,2016/05/24 00:00:00,3601.068019368414,3684.746683280036,3690.517625618766,3601.068019368423,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,83.678664,2.323718,1.023237,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,77.667265,80.170836,3718.662914,False,0.0,0.0
584,20160525,2016/05/25 00:00:00,3695.32674423436,3736.68516432862,3745.341577836714,3675.12844604881,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,41.35842,1.119209,1.011192,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,68.289484,81.245816,3723.152439,False,0.0,0.0
